Date,Open,High,Low,Close,Volume
2025-01-02,19923.07,20024.79,19833.82,20024.66,52445568
2025-01-03,20028.4,20031.11,19868.14,19906.08,44372879
2025-01-06,19982.66,20216.19,19921.12,20216.19,70784860
2025-01-07,20206.04,20391.17,20152.7,20340.57,62020034
2025-01-08,20322.17,20480.49,20242.56,20329.94,62954898
2025-01-09,20284.2,20360.38,20245.96,20317.1,50177095
2025-01-10,20316.55,20400.52,20187.97,20214.79,76245504
2025-01-13,20157.24,20176.11,20025.28,20132.85,56263562
2025-01-14,20266.14,20362.59,20234.26,20271.33,65394124
2025-01-15,20305.24,20629.77,20290.62,20574.68,81035083
2025-01-16,20665.61,20675.08,20580.09,20655.39,66273449
2025-01-17,20732.04,20924.5,20716.38,20903.39,76253109
2025-01-20,20900.68,21054.6,20880.57,20990.31,49988707
2025-01-21,20925.75,21045.67,20922.8,21042.0,49305505
2025-01-22,21169.61,21330.87,21162.31,21254.27,63282258
2025-01-23,21277.58,21423.02,21254.08,21411.53,56353219
2025-01-24,21463.15,21520.5,21353.01,21394.93,67380512
2025-01-27,21201.99,21344.98,21081.61,21282.18,79343810
2025-01-28,21374.29,21475.9,21296.33,21430.58,68020257
2025-01-29,21511.47,21671.59,21475.64,21637.53,69568839
2025-01-30,21676.22,21732.05,21650.78,21727.2,81446400
2025-01-31,21771.49,21800.52,21689.29,21732.05,70233927
2025-02-03,21301.53,21462.79,21252.71,21428.24,80512815
2025-02-04,21474.79,21518.54,21298.71,21505.7,63711381
2025-02-05,21429.83,21585.93,21387.72,21585.93,61173729
2025-02-06,21718.1,21921.02,21691.57,21902.42,75964253
2025-02-07,21908.48,21945.31,21759.97,21787.0,68673703
2025-02-10,21830.93,21945.57,21785.02,21911.74,54330738
2025-02-11,21909.96,22046.41,21884.38,22037.83,55759641
2025-02-12,22077.82,22193.65,21971.63,22148.03,73775608
2025-02-13,22410.58,22624.57,22306.33,22612.02,96482368
2025-02-14,22526.87,22609.97,22467.37,22513.42,68291573
2025-02-17,22589.91,22804.2,22550.73,22798.09,49597126
2025-02-18,22851.37,22882.77,22715.25,22844.5,61526121
2025-02-19,22875.96,22935.06,22416.11,22433.63,72215853
2025-02-20,22501.21,22574.59,22280.23,22314.65,70289468
2025-02-21,22329.22,22393.59,22226.34,22287.56,73524466
2025-02-24,22470.68,22515.36,22235.26,22425.93,72044349
2025-02-25,22362.81,22576.12,22332.15,22410.27,71533099
2025-02-26,22571.93,22833.25,22554.37,22794.11,81091115
2025-02-27,22587.27,22686.41,22378.06,22550.89,74227184
